CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_Germany,Geography_Spain,AgeGroup,CLV,ChurnProbability,ChurnRishkFlag,CustomerId
619,0,42,2,0.0,1,1,1,101348.88,1,False,False,Middle,20269.776,0.3723224943791748,0,15634602
608,0,41,1,83807.86,1,0,1,112542.58,0,False,True,Middle,95062.118,0.44844125321773365,0,15647311
502,0,42,8,159660.8,3,1,0,113931.57,1,False,False,Middle,250806.05599999998,0.6596817350450088,1,15619304
699,0,39,1,0.0,2,0,0,93826.63,0,False,False,Middle,9382.663,0.5162455132262741,1,15701354
850,0,43,2,125510.82,1,1,1,79084.1,0,False,True,Middle,141327.64,0.4622335466636207,0,15737888
645,1,44,8,113755.78,2,1,0,149756.71,1,False,True,Middle,233561.148,0.56771328954811,1,15574012
822,1,50,7,0.0,2,1,1,10062.8,0,False,False,Senior,7043.959999999999,0.3041206215668229,0,15592531
376,0,29,4,115046.74,4,1,0,119346.88,1,True,False,Young,162785.49200000003,0.5870597361823493,1,15656148
501,1,44,4,142051.07,2,0,1,74940.5,0,False,False,Middle,172027.27000000002,0.37046787037764817,0,15792365
684,1,27,2,134603.88,1,1,1,71725.73,0,False,False,Young,148949.026,0.13023160480325782,0,15592389
528,1,31,6,102016.72,2,0,0,80181.12,0,False,False,Middle,150125.392,0.3143050336074404,0,15767821
497,1,24,3,0.0,2,1,0,76390.01,0,False,True,Young,22917.002999999997,0.18999860840594124,0,15737173
476,0,34,10,0.0,2,1,0,26260.98,0,False,False,Middle,26260.98,0.39709288901098194,0,15632264
549,0,25,5,0.0,2,0,0,190857.79,0,False,False,Young,95428.89500000002,0.2819338240637084,0,15691483
635,0,35,7,0.0,2,1,1,65951.65,0,False,True,Middle,46166.155,0.2407756091062902,0,15600882
616,1,45,3,143129.41,2,0,1,64327.26,0,True,False,Middle,162427.588,0.5643680923761818,1,15643966
653,1,58,1,132602.88,1,1,0,5097.67,1,True,False,Senior,133112.647,0.9045819729600997,1,15737452
549,0,24,9,0.0,2,1,1,14406.41,0,False,True,Young,12965.769,0.11582716178222512,0,15788218
587,1,45,6,0.0,1,0,0,158684.81,0,False,True,Middle,95210.886,0.5550190714872225,1,15661507
726,0,24,6,0.0,2,1,1,54724.03,0,False,False,Young,32834.418,0.1035545095768,0,15568982
732,1,41,8,0.0,2,1,1,170886.17,0,False,False,Middle,136708.93600000002,0.20726958345140853,0,15577657
636,0,32,8,0.0,2,1,0,138555.46,0,False,True,Middle,110844.368,0.39696099969155235,0,15597945
510,0,38,4,0.0,1,1,0,118913.53,1,False,True,Middle,47565.412000000004,0.5622787939116192,1,15699309
669,1,46,3,0.0,2,0,1,8487.75,0,False,False,Senior,2546.3250000000003,0.29669780722960265,0,15725737
